,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,8,-1,-1,0.009063720703125,"[3, 2, 0, 1, 2, 1, 1, 0, 2]",-0.05,-0.05
1,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,18,0,-1,0.017071247100830078,"[3, 3, 3, 2, 0, 3, 3, 0, 0, 3, 0, 2, 2, 1, 2, 1, 2, 3, 2]",-0.05,-0.016666666666666666
2,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,0,-1,-2,0.0009996891021728516,[0],-0.1,-0.025
3,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,4,-1,-3,0.005060911178588867,"[3, 1, 2, 3, 1]",-0.15000000000000002,-0.030000000000000006
4,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,99,1,-2,0.08878517150878906,"[2, 1, 2, 3, 3, 1, 0, 1, 1, 0, 0, 2, 2, 0, 2, 3, 2, 2, 3, 0, 3, 3, 0, 3, 3, 2, 3, 2, 3, 2, 2, 1, 1, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 0, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2]",-0.08597822069666833,-0.006613709284359102
5,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,11,-1,-3,0.012082815170288086,"[2, 1, 3, 1, 3, 3, 3, 1, 1, 3, 0, 0]",-0.13360322069666833,-0.009543087192619166
6,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,3,-1,-4,0.003999948501586914,"[3, 3, 3, 3]",-0.18360322069666835,-0.012240214713111224
7,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,2,-1,-5,0.003108978271484375,"[1, 3, 1]",-0.23360322069666833,-0.014600201293541771
8,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,1,-1,-6,0.001999378204345703,"[3, 3]",-0.2836032206966683,-0.016682542393921668
9,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,-1,-7,0.003000974655151367,"[2, 2, 3, 2]",-0.3307656285853402,-0.0194568016814906
10,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,8,-1,-8,0.00810861587524414,"[1, 3, 3, 1, 1, 2, 1, 1, 2]",-0.37562349015070134,-0.019769657376352702
11,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,75,0,-8,0.0668637752532959,"[3, 3, 3, 0, 3, 3, 0, 3, 1, 2, 2, 3, 2, 3, 2, 3, 2, 0, 2, 3, 2, 2, 2, 3, 3, 2, 3, 2, 1, 0, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 0, 1, 3, 1, 2, 0]",-0.3678682776691916,-0.014714731106767664
12,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,0,-1,-9,0.0009996891021728516,[0],-0.4131072270612891,-0.016524289082451564
13,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,1,-1,-10,0.0009999275207519531,"[1, 2]",-0.45606952182712557,-0.01824278087308502
14,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,0,-1,-11,0.001001119613647461,[3],-0.5038410291060688,-0.02015364116424275
15,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,10,-1,-12,0.01011037826538086,"[3, 3, 0, 0, 0, 2, 0, 2, 1, 0, 0]",-0.5159082564835963,-0.02063633025934385
16,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,99,1,-11,0.08803868293762207,"[1, 2, 2, 2, 2, 2, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2, 0, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 0, 0, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 0, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 1, 2, 1, 0, 0, 3, 1, 1]",-0.4528729450060215,-0.016174033750215054
17,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,9,-1,-12,0.00913381576538086,"[3, 2, 0, 0, 1, 1, 1, 1, 2, 2]",-0.474423668074605,-0.016943702431235892
18,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,5,-1,-13,0.006000041961669922,"[0, 3, 2, 3, 2, 3]",-0.5157783260016571,-0.01778545951729852
19,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,0,-1,-14,0.0011501312255859375,[2],-0.5557797079812483,-0.01916481751659477
20,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,8,-1,-15,0.009001731872558594,"[2, 1, 3, 1, 0, 3, 0, 1, 0]",-0.5877276836844382,-0.020266471851187524
21,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,99,1,-14,0.08765387535095215,"[1, 2, 0, 1, 1, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 0, 2, 3, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 3, 2, 1, 0, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2]",-0.5205295781772437,-0.017350985939241455
22,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,13,-1,-15,0.013108015060424805,"[0, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 0, 2]",-0.545304914463693,-0.0181768304821231
23,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,1,-1,-16,0.0010013580322265625,"[0, 2]",-0.5807093154750449,-0.019356977182501497
24,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,7,-1,-17,0.007999897003173828,"[3, 3, 3, 3, 1, 0, 1, 0]",-0.6124154498177102,-0.020413848327257008
25,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,5,-1,-18,0.005106687545776367,"[1, 1, 1, 0, 1, 1]",-0.6528610812419146,-0.02176203604139715
26,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,9,-1,-19,0.009110689163208008,"[2, 2, 2, 2, 2, 0, 1, 0, 1, 2]",-0.6742067444864955,-0.021748604660854695
27,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,4,-1,-20,0.005000591278076172,"[1, 3, 2, 2, 3]",-0.7207855312644463,-0.02325114616982085
28,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,28,2,-1,-21,0.003096342086791992,"[2, 2, 3]",-0.7454269053932832,-0.02404602920623494
29,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,29,6,-1,-22,0.005999326705932617,"[1, 1, 0, 1, 1, 3, 2]",-0.7732360998685605,-0.024943099995760016
30,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,30,3,-1,-23,0.0040740966796875,"[1, 2, 1, 0]",-0.8035147595883603,-0.025919830954463235
31,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,31,6,-1,-24,0.007000446319580078,"[1, 3, 0, 2, 2, 1, 2]",-0.8461480204000615,-0.027295097432260048
32,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,32,99,1,-23,0.08697795867919922,"[1, 0, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 2, 1, 0, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 1, 2, 0, 2, 2, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 2, 2, 2]",-0.7726196874987606,-0.02414436523433627
33,8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,33,4,-1,-24,0.0050487518310546875,"[3, 0, 0, 1, 3]",-0.7999212420274708,-0.024997538813358464
